Dataset = simulated.abs
Using 6 threads to run hyperparameter search
run = hpo
[I 2020-05-25 02:35:40,973] Finished trial#2 with value: 0.0 with parameters: {'learning_rate': 0.10492918156185563, 'max_depth': 2, 'min_child_weight': 6.516297465796531, 'reg_alpha': 1.8238975295779214, 'reg_lambda': 1.6491446561567327, 'aft_loss_distribution_scale': 5.983576128176064}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:47,617] Finished trial#41 with value: 0.0 with parameters: {'learning_rate': 0.3781984768302304, 'max_depth': 10, 'min_child_weight': 8.552038360427014, 'reg_alpha': 0.0022648689344683466, 'reg_lambda': 0.0030842267981017824, 'aft_loss_distribution_scale': 21.53193486092248}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:47,656] Finished trial#40 with value: 0.0 with parameters: {'learning_rate': 0.12395387052216904, 'max_depth': 8, 'min_child_weight': 0.20390568388927127, 'reg_alpha': 0.00028185830277465405, 'reg_lambda': 0.00012981366082841738, 'aft_loss_distribution_scale': 1.7407227668059917}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:47,722] Finished trial#43 with value: 0.0 with parameters: {'learning_rate': 0.00731143656954924, 'max_depth': 4, 'min_child_weight': 0.32802233820744997, 'reg_alpha': 0.02557452455053438, 'reg_lambda': 0.0006084346745546528, 'aft_loss_distribution_scale': 5.765938889036222}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:47,776] Finished trial#44 with value: 0.0 with parameters: {'learning_rate': 0.008829094895817693, 'max_depth': 2, 'min_child_weight': 0.38525399339510974, 'reg_alpha': 0.277362569329395, 'reg_lambda': 10.397555330607538, 'aft_loss_distribution_scale': 8.661592322797608}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:47,820] Finished trial#45 with value: 0.0 with parameters: {'learning_rate': 0.4722753459130548, 'max_depth': 10, 'min_child_weight': 7.273775358497216, 'reg_alpha': 0.00014374434760246283, 'reg_lambda': 0.0012876187073604826, 'aft_loss_distribution_scale': 10.903876152650732}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:47,858] Finished trial#46 with value: 0.0 with parameters: {'learning_rate': 0.37146693504678, 'max_depth': 10, 'min_child_weight': 3.7438690872595113, 'reg_alpha': 0.2932003480763612, 'reg_lambda': 1.033519604636515, 'aft_loss_distribution_scale': 98.20817487802799}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:47,898] Finished trial#48 with value: 0.0 with parameters: {'learning_rate': 0.007733467669635614, 'max_depth': 10, 'min_child_weight': 3.6619226707122468, 'reg_alpha': 0.6510978322845158, 'reg_lambda': 13.264534820923929, 'aft_loss_distribution_scale': 1.4900190307534462}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:47,943] Finished trial#47 with value: 0.0 with parameters: {'learning_rate': 0.5606126828435133, 'max_depth': 6, 'min_child_weight': 14.184482784873035, 'reg_alpha': 0.00032835447241620104, 'reg_lambda': 23.850881283007507, 'aft_loss_distribution_scale': 19.490971405264947}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,000] Finished trial#49 with value: 0.0 with parameters: {'learning_rate': 0.038735769931645674, 'max_depth': 4, 'min_child_weight': 25.656715318722405, 'reg_alpha': 0.0005905949784022924, 'reg_lambda': 32.179092820886396, 'aft_loss_distribution_scale': 6.532656480323742}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,056] Finished trial#50 with value: 0.0 with parameters: {'learning_rate': 0.00486472401841051, 'max_depth': 10, 'min_child_weight': 2.6457641604835875, 'reg_alpha': 0.021380602124417503, 'reg_lambda': 0.00044378870937519804, 'aft_loss_distribution_scale': 27.641462252357027}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,104] Finished trial#53 with value: 0.0 with parameters: {'learning_rate': 0.011171384928103606, 'max_depth': 8, 'min_child_weight': 5.779681702243386, 'reg_alpha': 0.009418504234399274, 'reg_lambda': 29.097566568832043, 'aft_loss_distribution_scale': 4.03329643299682}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,141] Finished trial#51 with value: 0.0 with parameters: {'learning_rate': 0.2298314756328698, 'max_depth': 2, 'min_child_weight': 2.053057977006912, 'reg_alpha': 2.6989574150945113, 'reg_lambda': 0.53147800345322, 'aft_loss_distribution_scale': 96.59397037540694}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,179] Finished trial#52 with value: 0.0 with parameters: {'learning_rate': 0.11937215075812914, 'max_depth': 4, 'min_child_weight': 3.783492145918376, 'reg_alpha': 76.60466717961366, 'reg_lambda': 0.00015268866005751082, 'aft_loss_distribution_scale': 9.062891416910695}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,221] Finished trial#54 with value: 0.0 with parameters: {'learning_rate': 0.0021574981525373095, 'max_depth': 6, 'min_child_weight': 2.685335175942803, 'reg_alpha': 0.006635698127841572, 'reg_lambda': 0.00043798394330305836, 'aft_loss_distribution_scale': 96.75456382389396}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,274] Finished trial#55 with value: 0.0 with parameters: {'learning_rate': 0.16548065299135278, 'max_depth': 6, 'min_child_weight': 1.411231322016374, 'reg_alpha': 0.009404479107304586, 'reg_lambda': 0.026627698553941433, 'aft_loss_distribution_scale': 4.3676683452770595}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,336] Finished trial#56 with value: 0.0 with parameters: {'learning_rate': 0.2722578867825911, 'max_depth': 6, 'min_child_weight': 15.740466221540197, 'reg_alpha': 0.0023415440548636103, 'reg_lambda': 0.07486303347689957, 'aft_loss_distribution_scale': 94.91629399048209}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,388] Finished trial#60 with value: 0.0 with parameters: {'learning_rate': 0.002118850104841377, 'max_depth': 2, 'min_child_weight': 0.10252347717342279, 'reg_alpha': 0.721050804897854, 'reg_lambda': 0.6581673832299675, 'aft_loss_distribution_scale': 4.4235943275387815}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,418] Finished trial#59 with value: 0.0 with parameters: {'learning_rate': 0.010650378161514784, 'max_depth': 2, 'min_child_weight': 83.26220950702586, 'reg_alpha': 17.570614979901936, 'reg_lambda': 0.023433636403984767, 'aft_loss_distribution_scale': 1.6415095100750718}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,454] Finished trial#57 with value: 0.0 with parameters: {'learning_rate': 0.003612340799323254, 'max_depth': 6, 'min_child_weight': 0.35470852427865457, 'reg_alpha': 0.0002552178338763366, 'reg_lambda': 0.27791453315770565, 'aft_loss_distribution_scale': 7.211604663573702}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,494] Finished trial#58 with value: 0.0 with parameters: {'learning_rate': 0.1822317507165877, 'max_depth': 6, 'min_child_weight': 0.11744527044836386, 'reg_alpha': 0.11466643811485581, 'reg_lambda': 0.000136845253633944, 'aft_loss_distribution_scale': 1.3600619132661265}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,538] Finished trial#61 with value: 0.0 with parameters: {'learning_rate': 0.06912075487894236, 'max_depth': 2, 'min_child_weight': 0.45339872286849037, 'reg_alpha': 0.0013227677477371594, 'reg_lambda': 18.89094520948351, 'aft_loss_distribution_scale': 19.04904369181168}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,604] Finished trial#62 with value: 0.0 with parameters: {'learning_rate': 0.6420908973391766, 'max_depth': 8, 'min_child_weight': 0.2213408291927335, 'reg_alpha': 0.0004286392023107349, 'reg_lambda': 0.0006802225062478701, 'aft_loss_distribution_scale': 4.135491598896676}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,663] Finished trial#66 with value: 0.0 with parameters: {'learning_rate': 0.28566402029845184, 'max_depth': 4, 'min_child_weight': 3.647222664918344, 'reg_alpha': 0.010490039285830505, 'reg_lambda': 1.92675066068832, 'aft_loss_distribution_scale': 2.9758491765182717}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,704] Finished trial#65 with value: 0.0 with parameters: {'learning_rate': 0.19616612380126, 'max_depth': 2, 'min_child_weight': 0.6602337469236753, 'reg_alpha': 0.0009750435429132081, 'reg_lambda': 0.9445924883671163, 'aft_loss_distribution_scale': 4.143511609216901}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,743] Finished trial#67 with value: 0.0 with parameters: {'learning_rate': 0.004405533052020837, 'max_depth': 2, 'min_child_weight': 0.8520149491893932, 'reg_alpha': 0.003036537206702702, 'reg_lambda': 0.014046393891693978, 'aft_loss_distribution_scale': 18.758688867906894}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,783] Finished trial#63 with value: 0.0 with parameters: {'learning_rate': 0.001144691744525112, 'max_depth': 8, 'min_child_weight': 1.0997606588965219, 'reg_alpha': 0.00022842304889668692, 'reg_lambda': 0.06387332978421746, 'aft_loss_distribution_scale': 5.919961284589954}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,819] Finished trial#64 with value: 0.0 with parameters: {'learning_rate': 0.04157204854669167, 'max_depth': 4, 'min_child_weight': 12.382572467590476, 'reg_alpha': 41.053071256147085, 'reg_lambda': 0.20844796225362128, 'aft_loss_distribution_scale': 66.6211414907166}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,877] Finished trial#68 with value: 0.0 with parameters: {'learning_rate': 0.0028689276404202384, 'max_depth': 10, 'min_child_weight': 4.543454181601759, 'reg_alpha': 0.003937601835379797, 'reg_lambda': 27.390893645273074, 'aft_loss_distribution_scale': 47.75057911147696}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,945] Finished trial#69 with value: 0.0 with parameters: {'learning_rate': 0.017528898939250314, 'max_depth': 4, 'min_child_weight': 48.80649609138089, 'reg_alpha': 0.03979066199016094, 'reg_lambda': 0.0001379807742908436, 'aft_loss_distribution_scale': 6.181384227215877}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:48,985] Finished trial#73 with value: 0.0 with parameters: {'learning_rate': 0.4061482821430478, 'max_depth': 2, 'min_child_weight': 0.44839407700564793, 'reg_alpha': 3.1919594272490524, 'reg_lambda': 15.230712504172484, 'aft_loss_distribution_scale': 6.803359289089365}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,024] Finished trial#71 with value: 0.0 with parameters: {'learning_rate': 0.5754126583467104, 'max_depth': 8, 'min_child_weight': 1.6064816403439053, 'reg_alpha': 6.253733279283997, 'reg_lambda': 0.00014872606535914744, 'aft_loss_distribution_scale': 2.611191631645765}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,062] Finished trial#70 with value: 0.0 with parameters: {'learning_rate': 0.0036489377315523912, 'max_depth': 10, 'min_child_weight': 12.176181525442859, 'reg_alpha': 3.6485301726317534, 'reg_lambda': 0.007162894308527901, 'aft_loss_distribution_scale': 2.5919243039001887}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,102] Finished trial#72 with value: 0.0 with parameters: {'learning_rate': 0.15154911220649644, 'max_depth': 8, 'min_child_weight': 2.909451579610232, 'reg_alpha': 0.0006629031409734345, 'reg_lambda': 61.49764438445838, 'aft_loss_distribution_scale': 65.26368576113916}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,149] Finished trial#74 with value: 0.0 with parameters: {'learning_rate': 0.00450141455250956, 'max_depth': 6, 'min_child_weight': 75.62017930062652, 'reg_alpha': 93.99410023928986, 'reg_lambda': 0.2019366665906729, 'aft_loss_distribution_scale': 20.00597003918905}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,237] Finished trial#78 with value: 0.0 with parameters: {'learning_rate': 0.05175408956383019, 'max_depth': 10, 'min_child_weight': 21.04769977970082, 'reg_alpha': 0.347713206032727, 'reg_lambda': 0.21546376462587727, 'aft_loss_distribution_scale': 1.3489824459318922}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,275] Finished trial#79 with value: 0.0 with parameters: {'learning_rate': 0.006489983744133947, 'max_depth': 2, 'min_child_weight': 1.0793613214272766, 'reg_alpha': 0.0027411582581902665, 'reg_lambda': 0.005863517115181153, 'aft_loss_distribution_scale': 2.8627397856426957}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,347] Finished trial#77 with value: 0.0 with parameters: {'learning_rate': 0.08696947502258058, 'max_depth': 6, 'min_child_weight': 0.18330402381606758, 'reg_alpha': 9.756696949077092, 'reg_lambda': 6.8695541949326575, 'aft_loss_distribution_scale': 2.617000636825652}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,348] Finished trial#75 with value: 0.0 with parameters: {'learning_rate': 0.008608645441611919, 'max_depth': 2, 'min_child_weight': 35.90449216007989, 'reg_alpha': 0.05190416781919461, 'reg_lambda': 18.485713984249255, 'aft_loss_distribution_scale': 90.26905111161165}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,394] Finished trial#80 with value: 0.0 with parameters: {'learning_rate': 0.26173874684458703, 'max_depth': 8, 'min_child_weight': 1.1151322984389438, 'reg_alpha': 3.2642918817793993, 'reg_lambda': 5.910676924725751, 'aft_loss_distribution_scale': 42.883250773243006}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,430] Finished trial#76 with value: 0.0 with parameters: {'learning_rate': 0.003839800420431776, 'max_depth': 2, 'min_child_weight': 2.0265157070067183, 'reg_alpha': 0.00015308160859751438, 'reg_lambda': 0.0008783487474172201, 'aft_loss_distribution_scale': 15.763007676769494}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,511] Finished trial#82 with value: 0.0 with parameters: {'learning_rate': 0.024246204655916866, 'max_depth': 10, 'min_child_weight': 0.2769744295558842, 'reg_alpha': 0.0048255560162425186, 'reg_lambda': 0.00036073532317452446, 'aft_loss_distribution_scale': 6.153203002569801}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,542] Finished trial#86 with value: 0.0 with parameters: {'learning_rate': 0.013459926413892764, 'max_depth': 4, 'min_child_weight': 35.38955854790048, 'reg_alpha': 2.8090081548612225, 'reg_lambda': 7.586370820891809, 'aft_loss_distribution_scale': 1.2527361392202925}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,616] Finished trial#83 with value: 0.0 with parameters: {'learning_rate': 0.010241921779598383, 'max_depth': 6, 'min_child_weight': 17.38305812349312, 'reg_alpha': 0.24557788417501464, 'reg_lambda': 0.42412186851821737, 'aft_loss_distribution_scale': 1.1831462921137268}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,618] Finished trial#81 with value: 0.0 with parameters: {'learning_rate': 0.025980621135995984, 'max_depth': 8, 'min_child_weight': 0.7681328213221723, 'reg_alpha': 0.04214510777794664, 'reg_lambda': 0.000442184967164253, 'aft_loss_distribution_scale': 8.873954962754192}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,663] Finished trial#84 with value: 0.0 with parameters: {'learning_rate': 0.30536488057382727, 'max_depth': 4, 'min_child_weight': 30.596304959403547, 'reg_alpha': 52.04790858052897, 'reg_lambda': 0.021175870249305315, 'aft_loss_distribution_scale': 55.79253923899149}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,704] Finished trial#85 with value: 0.0 with parameters: {'learning_rate': 0.023263533436630665, 'max_depth': 2, 'min_child_weight': 0.8248999933711463, 'reg_alpha': 0.3453850908624934, 'reg_lambda': 0.0010648360660395393, 'aft_loss_distribution_scale': 18.545328932514636}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,826] Finished trial#92 with value: 0.0 with parameters: {'learning_rate': 0.014406321742281274, 'max_depth': 8, 'min_child_weight': 1.1805702323494476, 'reg_alpha': 5.018747644400956, 'reg_lambda': 19.469843457320444, 'aft_loss_distribution_scale': 4.824097377341817}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,827] Finished trial#87 with value: 0.0 with parameters: {'learning_rate': 0.3987360669592899, 'max_depth': 6, 'min_child_weight': 2.304645865104023, 'reg_alpha': 0.1220454534841399, 'reg_lambda': 1.451040020879126, 'aft_loss_distribution_scale': 1.222387667697514}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,871] Finished trial#89 with value: 0.0 with parameters: {'learning_rate': 0.004060891439458056, 'max_depth': 4, 'min_child_weight': 8.988852353085887, 'reg_alpha': 0.00745763959217229, 'reg_lambda': 1.0711896099834892, 'aft_loss_distribution_scale': 60.725082632808245}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,909] Finished trial#88 with value: 0.0 with parameters: {'learning_rate': 0.004148089765062179, 'max_depth': 8, 'min_child_weight': 2.141977207109958, 'reg_alpha': 0.000876667978959438, 'reg_lambda': 2.711398311366473, 'aft_loss_distribution_scale': 34.491023070900795}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,943] Finished trial#91 with value: 0.0 with parameters: {'learning_rate': 0.0010603463394915078, 'max_depth': 2, 'min_child_weight': 18.523638261758013, 'reg_alpha': 0.003536815092145455, 'reg_lambda': 1.1314021454391578, 'aft_loss_distribution_scale': 27.826178756980898}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:49,985] Finished trial#90 with value: 0.0 with parameters: {'learning_rate': 0.18035431847714686, 'max_depth': 4, 'min_child_weight': 0.5979631746384598, 'reg_alpha': 1.2054246823496553, 'reg_lambda': 0.20636015267164137, 'aft_loss_distribution_scale': 3.1129808084665944}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,052] Finished trial#98 with value: 0.0 with parameters: {'learning_rate': 0.004115595114777903, 'max_depth': 10, 'min_child_weight': 22.429725004528667, 'reg_alpha': 0.0010784992773538802, 'reg_lambda': 0.9550902393169652, 'aft_loss_distribution_scale': 13.189138696139985}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,100] Finished trial#97 with value: 0.0 with parameters: {'learning_rate': 0.02169480299681625, 'max_depth': 8, 'min_child_weight': 9.103170647627637, 'reg_alpha': 8.923149232178776, 'reg_lambda': 12.674786928192095, 'aft_loss_distribution_scale': 43.296836061307395}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,140] Finished trial#95 with value: 0.0 with parameters: {'learning_rate': 0.0029501284152930575, 'max_depth': 2, 'min_child_weight': 24.657951022841218, 'reg_alpha': 0.10232754583521514, 'reg_lambda': 0.0010235917008771366, 'aft_loss_distribution_scale': 42.96253310106978}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,176] Finished trial#93 with value: 0.0 with parameters: {'learning_rate': 0.05738622992172078, 'max_depth': 8, 'min_child_weight': 0.4098872446068667, 'reg_alpha': 0.00017927446946924925, 'reg_lambda': 0.040821922303110866, 'aft_loss_distribution_scale': 6.08940125495873}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,215] Finished trial#94 with value: 0.0 with parameters: {'learning_rate': 0.013006219284618578, 'max_depth': 2, 'min_child_weight': 0.19056823524085287, 'reg_alpha': 0.012383341094959035, 'reg_lambda': 0.0004418931721892854, 'aft_loss_distribution_scale': 93.01245244324424}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,243] Finished trial#96 with value: 0.0 with parameters: {'learning_rate': 0.0065959773353354055, 'max_depth': 6, 'min_child_weight': 0.22646347240243841, 'reg_alpha': 41.88999346059905, 'reg_lambda': 0.025116835751162685, 'aft_loss_distribution_scale': 1.7538151208866342}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,282] Finished trial#99 with value: 0.0 with parameters: {'learning_rate': 0.02694325381994931, 'max_depth': 8, 'min_child_weight': 0.6101852857209158, 'reg_alpha': 0.002933881945694955, 'reg_lambda': 8.754959081655118, 'aft_loss_distribution_scale': 6.609423538740905}. Best is trial#3 with value: 0.0.
Fold 2, Distribution normal: Accuracy ('accuracy', 0.1), Time elapsed = 4.786048256995855
[I 2020-05-25 02:35:50,552] Finished trial#3 with value: 0.0 with parameters: {'learning_rate': 0.09431736290727014, 'max_depth': 8, 'min_child_weight': 0.696052297812698, 'reg_alpha': 39.9049453145739, 'reg_lambda': 0.00014639397463143898, 'aft_loss_distribution_scale': 3.115154037976925}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,593] Finished trial#2 with value: 0.0 with parameters: {'learning_rate': 0.010359404503792647, 'max_depth': 4, 'min_child_weight': 0.828538563142384, 'reg_alpha': 13.864871467834421, 'reg_lambda': 5.729633386480566, 'aft_loss_distribution_scale': 41.79980739272993}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,632] Finished trial#1 with value: 0.0 with parameters: {'learning_rate': 0.014486572118661018, 'max_depth': 2, 'min_child_weight': 0.3075599744264086, 'reg_alpha': 0.001460393659376531, 'reg_lambda': 0.0001751853681628652, 'aft_loss_distribution_scale': 4.418852351329192}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,666] Finished trial#0 with value: 0.0 with parameters: {'learning_rate': 0.0022096540277422674, 'max_depth': 10, 'min_child_weight': 27.426785118354037, 'reg_alpha': 0.5163840960273812, 'reg_lambda': 19.383159222650807, 'aft_loss_distribution_scale': 12.132755965555265}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,692] Finished trial#5 with value: 0.0 with parameters: {'learning_rate': 0.0010310594439741875, 'max_depth': 10, 'min_child_weight': 10.101909420937744, 'reg_alpha': 0.12947400012501428, 'reg_lambda': 0.0001971314684661588, 'aft_loss_distribution_scale': 3.848904142109836}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,726] Finished trial#4 with value: 0.0 with parameters: {'learning_rate': 0.004417995302560407, 'max_depth': 2, 'min_child_weight': 1.7327410519089828, 'reg_alpha': 1.0541300169457428, 'reg_lambda': 0.023153791727774174, 'aft_loss_distribution_scale': 52.0172717180216}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,813] Finished trial#6 with value: 0.0 with parameters: {'learning_rate': 0.0045457754328761405, 'max_depth': 4, 'min_child_weight': 0.20699307942090583, 'reg_alpha': 3.3733361378262847, 'reg_lambda': 0.021882341053448887, 'aft_loss_distribution_scale': 1.9710586753927066}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,870] Finished trial#7 with value: 0.0 with parameters: {'learning_rate': 0.012732677715880469, 'max_depth': 8, 'min_child_weight': 43.209141621615004, 'reg_alpha': 0.005578232521531806, 'reg_lambda': 0.013878666731946926, 'aft_loss_distribution_scale': 2.063070968279377}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,914] Finished trial#11 with value: 0.0 with parameters: {'learning_rate': 0.1580565943956867, 'max_depth': 10, 'min_child_weight': 0.10204273865945274, 'reg_alpha': 0.3432592918617019, 'reg_lambda': 2.305790809804016, 'aft_loss_distribution_scale': 23.269498108094403}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,952] Finished trial#10 with value: 0.0 with parameters: {'learning_rate': 0.02458192119077988, 'max_depth': 8, 'min_child_weight': 24.561884538489167, 'reg_alpha': 23.67226963077171, 'reg_lambda': 2.382378881029583, 'aft_loss_distribution_scale': 24.55095501399299}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:50,994] Finished trial#8 with value: 0.0 with parameters: {'learning_rate': 0.0014089857768000411, 'max_depth': 10, 'min_child_weight': 0.5885006096093965, 'reg_alpha': 0.9850747925917769, 'reg_lambda': 52.370721700560374, 'aft_loss_distribution_scale': 92.71011878804214}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,023] Finished trial#9 with value: 0.0 with parameters: {'learning_rate': 0.05377891023422533, 'max_depth': 6, 'min_child_weight': 1.149712803764016, 'reg_alpha': 0.7283012626797404, 'reg_lambda': 20.471861120755726, 'aft_loss_distribution_scale': 42.712231578470806}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,083] Finished trial#12 with value: 0.0 with parameters: {'learning_rate': 0.0012351589541345904, 'max_depth': 4, 'min_child_weight': 3.24746621615423, 'reg_alpha': 4.594969286069597, 'reg_lambda': 8.20512319024554, 'aft_loss_distribution_scale': 22.094316944481346}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,126] Finished trial#13 with value: 0.0 with parameters: {'learning_rate': 0.19040273002739486, 'max_depth': 4, 'min_child_weight': 19.166544648498515, 'reg_alpha': 0.0028554787997785826, 'reg_lambda': 7.031724564455485, 'aft_loss_distribution_scale': 1.4600295186864813}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,180] Finished trial#15 with value: 0.0 with parameters: {'learning_rate': 0.002989471744749925, 'max_depth': 2, 'min_child_weight': 53.65663431038672, 'reg_alpha': 0.031614627081032964, 'reg_lambda': 1.5403606489780144, 'aft_loss_distribution_scale': 61.459955381691486}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,218] Finished trial#16 with value: 0.0 with parameters: {'learning_rate': 0.9692230210409691, 'max_depth': 2, 'min_child_weight': 0.8023636329460934, 'reg_alpha': 0.08017602020853462, 'reg_lambda': 0.06402657469613121, 'aft_loss_distribution_scale': 53.81975007141198}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,258] Finished trial#14 with value: 0.0 with parameters: {'learning_rate': 0.15046084381792182, 'max_depth': 2, 'min_child_weight': 5.825855945818375, 'reg_alpha': 0.8283608274060429, 'reg_lambda': 2.9815896966988107, 'aft_loss_distribution_scale': 4.766252272075312}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,297] Finished trial#17 with value: 0.0 with parameters: {'learning_rate': 0.01249210973025681, 'max_depth': 4, 'min_child_weight': 0.8132994555405495, 'reg_alpha': 0.0002419555073563356, 'reg_lambda': 0.004471828576345722, 'aft_loss_distribution_scale': 16.56421380284335}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,350] Finished trial#18 with value: 0.0 with parameters: {'learning_rate': 0.6655088978907514, 'max_depth': 10, 'min_child_weight': 94.19581974290016, 'reg_alpha': 1.1248302155230425, 'reg_lambda': 5.880129894870509, 'aft_loss_distribution_scale': 26.74517614477007}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,393] Finished trial#19 with value: 0.0 with parameters: {'learning_rate': 0.7142074870262214, 'max_depth': 2, 'min_child_weight': 0.8036374483095902, 'reg_alpha': 0.1766101627203812, 'reg_lambda': 22.891761479626343, 'aft_loss_distribution_scale': 34.7098495239606}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,453] Finished trial#21 with value: 0.0 with parameters: {'learning_rate': 0.05746255123149164, 'max_depth': 8, 'min_child_weight': 4.879002541067583, 'reg_alpha': 0.00045192956823992154, 'reg_lambda': 0.0031361235776504017, 'aft_loss_distribution_scale': 2.689069523738515}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,492] Finished trial#22 with value: 0.0 with parameters: {'learning_rate': 0.10695482045585131, 'max_depth': 6, 'min_child_weight': 8.693640773047038, 'reg_alpha': 77.64344199295525, 'reg_lambda': 0.0009118315192779093, 'aft_loss_distribution_scale': 14.446804581886717}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,531] Finished trial#20 with value: 0.0 with parameters: {'learning_rate': 0.0876975742384304, 'max_depth': 8, 'min_child_weight': 4.290736848039837, 'reg_alpha': 0.0008163762796093891, 'reg_lambda': 68.95143237941436, 'aft_loss_distribution_scale': 3.449562593440939}. Best is trial#3 with value: 0.0.
[I 2020-05-25 02:35:51,572] Finished trial#23 with value: 0.0 with parameters: {'learning_rate': 0.011905760077935907, 'max_depth': 6, 'min_child_weight': 0.3808730175921546, 'reg_alpha': 0.025615229993958044, 'reg_lambda': 5.567324269641377, 'aft_loss_distribution_scale': 13.94327710605477}. Best is trial#3 with value: 0.0.
